transaction_id,created_at,country,amount,psp_name,routing_region,payment_method,auth_status,decline_code
89,2024/1/4 16:00,SG,147.23,Checkout,APAC,MASTERCARD,Approved,
90,2024/1/4 17:00,BR,39.64,Checkout,APAC,PIX,Declined,5
91,2024/1/4 18:00,IN,55.88,Adyen,EU,UPI,Approved,
92,2024/1/4 19:00,US,85.78,Stripe,EU,VISA,Approved,
93,2024/1/4 20:00,SG,64.63,Stripe,NA,VISA,Approved,
94,2024/1/4 21:00,US,12.24,Checkout,APAC,VISA,Approved,
95,2024/1/4 22:00,SG,129.75,Adyen,NA,MASTERCARD,Approved,
96,2024/1/4 23:00,BR,68.55,Checkout,NA,PIX,Approved,
97,2024/1/5 00:00,BR,103.84,Checkout,NA,PIX,Approved,
98,2024/1/5 01:00,BR,136.57,Adyen,EU,VISA,Approved,
99,2024/1/5 02:00,IN,9.01,Stripe,NA,UPI,Approved,
100,2024/1/5 03:00,IN,137.46,Checkout,EU,VISA,Declined,5
101,2024/1/5 04:00,IN,371.01,Checkout,APAC,VISA,Approved,
102,2024/1/5 05:00,US,112.09,Adyen,NA,VISA,Approved,
103,2024/1/5 06:00,BR,200.99,Adyen,EU,VISA,Declined,14
104,2024/1/5 07:00,BR,161.73,Checkout,APAC,VISA,Approved,
105,2024/1/5 08:00,DE,133.92,Stripe,EU,MASTERCARD,Approved,
106,2024/1/5 09:00,IN,165.7,Adyen,NA,UPI,Approved,
107,2024/1/5 10:00,BR,185.27,Checkout,APAC,PIX,Approved,
108,2024/1/5 11:00,SG,190.31,Stripe,APAC,VISA,Approved,
109,2024/1/5 12:00,IN,27.08,Adyen,APAC,VISA,Approved,
110,2024/1/5 13:00,IN,172.75,Adyen,EU,VISA,Declined,51
111,2024/1/5 14:00,IN,67.76,Checkout,EU,VISA,Declined,51
112,2024/1/5 15:00,IN,194.97,Adyen,EU,UPI,Approved,
113,2024/1/5 16:00,DE,119.25,Checkout,APAC,VISA,Approved,
114,2024/1/5 17:00,SG,26.69,Adyen,NA,VISA,Approved,
115,2024/1/5 18:00,US,213.27,Stripe,NA,VISA,Approved,
116,2024/1/5 19:00,SG,43.21,Stripe,APAC,MASTERCARD,Approved,
117,2024/1/5 20:00,SG,65.1,Adyen,NA,VISA,Approved,
118,2024/1/5 21:00,IN,247.26,Checkout,APAC,UPI,Approved,
119,2024/1/5 22:00,SG,93,Adyen,NA,MASTERCARD,Approved,
120,2024/1/5 23:00,BR,62.82,Checkout,NA,PIX,Approved,
121,2024/1/6 00:00,SG,78.59,Adyen,NA,MASTERCARD,Declined,14
122,2024/1/6 01:00,SG,61.73,Stripe,EU,VISA,Approved,
123,2024/1/6 02:00,BR,147.04,Checkout,EU,VISA,Declined,14
124,2024/1/6 03:00,IN,63.29,Stripe,APAC,UPI,Approved,
125,2024/1/6 04:00,IN,80.69,Stripe,EU,UPI,Approved,
126,2024/1/6 05:00,BR,126.57,Stripe,APAC,VISA,Approved,
127,2024/1/6 06:00,SG,116.7,Adyen,EU,MASTERCARD,Approved,
128,2024/1/6 07:00,SG,46.45,Checkout,NA,VISA,Approved,
129,2024/1/6 08:00,IN,148.29,Stripe,EU,VISA,Declined,201
130,2024/1/6 09:00,BR,54.24,Checkout,EU,VISA,Approved,
131,2024/1/6 10:00,BR,33.2,Checkout,EU,PIX,Approved,
132,2024/1/6 11:00,IN,13.71,Stripe,APAC,VISA,Approved,
133,2024/1/6 12:00,IN,72.39,Adyen,APAC,UPI,Approved,
134,2024/1/6 13:00,BR,17.31,Stripe,NA,PIX,Approved,
135,2024/1/6 14:00,DE,40.9,Stripe,NA,VISA,Approved,
136,2024/1/6 15:00,BR,82.29,Checkout,NA,PIX,Approved,
137,2024/1/6 16:00,BR,182.53,Adyen,EU,PIX,Approved,
138,2024/1/6 17:00,US,66.51,Checkout,NA,VISA,Approved,
139,2024/1/6 18:00,BR,21.62,Adyen,APAC,PIX,Approved,
140,2024/1/6 19:00,DE,76.55,Stripe,NA,MASTERCARD,Approved,
141,2024/1/6 20:00,DE,177.7,Adyen,NA,MASTERCARD,Approved,
142,2024/1/6 21:00,IN,65.27,Checkout,NA,UPI,Approved,
143,2024/1/6 22:00,BR,203.92,Stripe,NA,PIX,Approved,
144,2024/1/6 23:00,BR,81.93,Adyen,NA,VISA,Approved,
145,2024/1/7 00:00,IN,137.83,Adyen,APAC,UPI,Approved,
146,2024/1/7 01:00,IN,98.24,Checkout,EU,UPI,Approved,
147,2024/1/7 02:00,US,197.29,Adyen,NA,VISA,Approved,
148,2024/1/7 03:00,BR,312.32,Stripe,EU,VISA,Approved,
149,2024/1/7 04:00,IN,56.54,Adyen,NA,UPI,Approved,
150,2024/1/7 05:00,IN,94.01,Checkout,EU,UPI,Approved,
151,2024/1/7 06:00,DE,182.44,Adyen,APAC,MASTERCARD,Approved,
152,2024/1/7 07:00,IN,100.81,Stripe,EU,UPI,Approved,
153,2024/1/7 08:00,IN,12.91,Stripe,NA,UPI,Declined,5
154,2024/1/7 09:00,BR,66.1,Adyen,EU,VISA,Approved,
155,2024/1/7 10:00,DE,100.17,Adyen,EU,VISA,Approved,
156,2024/1/7 11:00,IN,234.41,Stripe,NA,VISA,Declined,5
157,2024/1/7 12:00,US,90.2,Checkout,EU,VISA,Approved,
158,2024/1/7 13:00,SG,38.46,Stripe,NA,VISA,Approved,
159,2024/1/7 14:00,IN,101.94,Adyen,APAC,UPI,Approved,
160,2024/1/7 15:00,US,218.77,Adyen,NA,MASTERCARD,Approved,
161,2024/1/7 16:00,BR,49.27,Checkout,APAC,PIX,Approved,
162,2024/1/7 17:00,US,54.84,Stripe,EU,VISA,Approved,
163,2024/1/7 18:00,US,49.93,Stripe,NA,MASTERCARD,Approved,
164,2024/1/7 19:00,BR,24.73,Checkout,EU,VISA,Approved,
165,2024/1/7 20:00,IN,87.16,Stripe,APAC,UPI,Approved,
166,2024/1/7 21:00,SG,79.54,Checkout,APAC,VISA,Approved,
167,2024/1/7 22:00,BR,14.68,Stripe,EU,PIX,Declined,14
168,2024/1/7 23:00,IN,41.23,Checkout,NA,UPI,Approved,
169,2024/1/8 00:00,IN,96.05,Checkout,NA,VISA,Declined,59
170,2024/1/8 01:00,US,135.54,Checkout,NA,MASTERCARD,Approved,
171,2024/1/8 02:00,US,162.18,Adyen,NA,VISA,Approved,
172,2024/1/8 03:00,IN,143.34,Adyen,APAC,UPI,Approved,
173,2024/1/8 04:00,BR,83.22,Adyen,NA,VISA,Approved,
174,2024/1/8 05:00,IN,20.69,Stripe,EU,VISA,Declined,51
175,2024/1/8 06:00,US,69.62,Checkout,APAC,VISA,Approved,
176,2024/1/8 07:00,IN,4.79,Stripe,EU,UPI,Approved,
177,2024/1/8 08:00,US,96.4,Stripe,EU,VISA,Approved,
178,2024/1/8 09:00,BR,47.82,Checkout,EU,VISA,Declined,14
179,2024/1/8 10:00,DE,8.7,Adyen,APAC,VISA,Approved,
180,2024/1/8 11:00,IN,109.85,Stripe,NA,VISA,Approved,
181,2024/1/8 12:00,BR,217.01,Stripe,EU,PIX,Approved,
182,2024/1/8 13:00,IN,17.56,Stripe,EU,VISA,Approved,
183,2024/1/8 14:00,DE,116.47,Adyen,NA,VISA,Approved,
184,2024/1/8 15:00,SG,60.43,Checkout,NA,VISA,Approved,
185,2024/1/8 16:00,IN,43.17,Checkout,NA,UPI,Approved,
186,2024/1/8 17:00,US,43.26,Stripe,NA,VISA,Approved,
187,2024/1/8 18:00,SG,60.42,Checkout,EU,VISA,Approved,
188,2024/1/8 19:00,US,60.24,Adyen,APAC,MASTERCARD,Approved,
189,2024/1/8 20:00,BR,80.68,Checkout,NA,PIX,Approved,
190,2024/1/8 21:00,IN,39.49,Stripe,NA,UPI,Approved,
191,2024/1/8 22:00,IN,47.16,Stripe,EU,UPI,Approved,
192,2024/1/8 23:00,SG,124.36,Checkout,NA,VISA,Approved,
193,2024/1/9 00:00,DE,36.32,Stripe,EU,VISA,Approved,
194,2024/1/9 01:00,US,101.07,Adyen,EU,VISA,Approved,
195,2024/1/9 02:00,BR,63.02,Adyen,EU,PIX,Approved,
196,2024/1/9 03:00,BR,52.87,Adyen,EU,PIX,Approved,
197,2024/1/9 04:00,US,264.22,Adyen,NA,VISA,Declined,51
198,2024/1/9 05:00,SG,25.32,Stripe,APAC,VISA,Approved,
199,2024/1/9 06:00,SG,227.02,Stripe,NA,VISA,Approved,
200,2024/1/9 07:00,SG,149.51,Checkout,APAC,MASTERCARD,Declined,5
201,2024/1/9 08:00,US,48.91,Stripe,NA,VISA,Approved,
202,2024/1/9 09:00,IN,152.5,Checkout,EU,UPI,Declined,14
203,2024/1/9 10:00,IN,2.27,Stripe,NA,VISA,Approved,
204,2024/1/9 11:00,SG,44.96,Checkout,EU,VISA,Approved,
205,2024/1/9 12:00,US,36.79,Checkout,NA,VISA,Approved,
206,2024/1/9 13:00,IN,110.8,Adyen,EU,UPI,Approved,
207,2024/1/9 14:00,IN,137.42,Checkout,APAC,VISA,Approved,
208,2024/1/9 15:00,US,109.49,Checkout,EU,MASTERCARD,Approved,
209,2024/1/9 16:00,IN,91.62,Checkout,NA,VISA,Approved,
210,2024/1/9 17:00,IN,159.54,Checkout,EU,VISA,Declined,51
211,2024/1/9 18:00,BR,144.22,Checkout,APAC,VISA,Approved,
212,2024/1/9 19:00,US,47.89,Adyen,APAC,MASTERCARD,Approved,
213,2024/1/9 20:00,US,52.64,Checkout,NA,VISA,Approved,
214,2024/1/9 21:00,IN,138.55,Checkout,EU,UPI,Approved,
215,2024/1/9 22:00,US,80.08,Checkout,NA,MASTERCARD,Approved,
216,2024/1/9 23:00,IN,84.38,Stripe,EU,VISA,Declined,59
217,2024/1/10 00:00,BR,92.93,Stripe,APAC,PIX,Approved,
218,2024/1/10 01:00,US,13.62,Adyen,NA,VISA,Approved,
219,2024/1/10 02:00,US,46.03,Checkout,APAC,MASTERCARD,Approved,
220,2024/1/10 03:00,SG,117.76,Checkout,EU,VISA,Approved,
221,2024/1/10 04:00,US,45.7,Stripe,APAC,VISA,Approved,
222,2024/1/10 05:00,US,68.91,Checkout,EU,MASTERCARD,Approved,
223,2024/1/10 06:00,IN,117.21,Adyen,NA,UPI,Approved,
224,2024/1/10 07:00,BR,165.68,Checkout,EU,PIX,Approved,
225,2024/1/10 08:00,IN,179.34,Adyen,EU,VISA,Declined,59
226,2024/1/10 09:00,IN,186.29,Stripe,NA,UPI,Approved,
227,2024/1/10 10:00,DE,74.21,Adyen,NA,MASTERCARD,Declined,201
228,2024/1/10 11:00,BR,68.25,Adyen,APAC,VISA,Declined,51
229,2024/1/10 12:00,SG,28.55,Adyen,EU,MASTERCARD,Approved,
230,2024/1/10 13:00,US,217.84,Adyen,EU,MASTERCARD,Declined,5
231,2024/1/10 14:00,SG,65.96,Adyen,APAC,VISA,Approved,
232,2024/1/10 15:00,BR,214.44,Adyen,EU,PIX,Declined,5
233,2024/1/10 16:00,US,103.1,Adyen,EU,MASTERCARD,Approved,
234,2024/1/10 17:00,BR,170.98,Adyen,NA,PIX,Approved,
235,2024/1/10 18:00,IN,78.21,Adyen,NA,UPI,Approved,
236,2024/1/10 19:00,US,125.66,Stripe,NA,MASTERCARD,Approved,
237,2024/1/10 20:00,IN,174.97,Adyen,APAC,VISA,Declined,14
238,2024/1/10 21:00,IN,55.09,Adyen,NA,VISA,Approved,
239,2024/1/10 22:00,US,186.96,Checkout,APAC,MASTERCARD,Approved,
240,2024/1/10 23:00,IN,32.45,Checkout,NA,VISA,Declined,5
241,2024/1/11 00:00,DE,259.67,Checkout,EU,MASTERCARD,Approved,
242,2024/1/11 01:00,DE,93.21,Adyen,EU,VISA,Approved,
243,2024/1/11 02:00,DE,46.67,Stripe,NA,VISA,Approved,
244,2024/1/11 03:00,BR,147.48,Stripe,NA,VISA,Approved,
245,2024/1/11 04:00,IN,106.65,Checkout,APAC,UPI,Approved,
246,2024/1/11 05:00,DE,14.5,Checkout,EU,MASTERCARD,Declined,59
247,2024/1/11 06:00,BR,60.45,Adyen,NA,VISA,Declined,51
248,2024/1/11 07:00,DE,33.97,Stripe,NA,MASTERCARD,Approved,
249,2024/1/11 08:00,DE,36.86,Stripe,EU,MASTERCARD,Declined,14
250,2024/1/11 09:00,SG,35.65,Checkout,NA,MASTERCARD,Declined,59
251,2024/1/11 10:00,IN,121.46,Stripe,EU,UPI,Approved,
252,2024/1/11 11:00,BR,155.41,Checkout,NA,PIX,Declined,14
253,2024/1/11 12:00,SG,43.01,Checkout,EU,VISA,Approved,
254,2024/1/11 13:00,BR,10.33,Adyen,APAC,PIX,Approved,
255,2024/1/11 14:00,IN,300.21,Checkout,NA,UPI,Approved,
256,2024/1/11 15:00,US,93.96,Adyen,NA,MASTERCARD,Approved,
257,2024/1/11 16:00,DE,148.24,Stripe,NA,VISA,Declined,59
258,2024/1/11 17:00,US,71.34,Stripe,APAC,VISA,Approved,
259,2024/1/11 18:00,US,7.67,Checkout,NA,VISA,Approved,
260,2024/1/11 19:00,IN,112.98,Checkout,NA,UPI,Approved,
261,2024/1/11 20:00,US,241.73,Adyen,EU,VISA,Approved,
262,2024/1/11 21:00,DE,48.96,Adyen,NA,VISA,Approved,
263,2024/1/11 22:00,IN,6.51,Stripe,NA,VISA,Declined,51
264,2024/1/11 23:00,BR,28.39,Stripe,EU,PIX,Approved,
265,2024/1/12 00:00,SG,153.26,Checkout,APAC,VISA,Approved,
266,2024/1/12 01:00,US,106.05,Checkout,APAC,VISA,Approved,
267,2024/1/12 02:00,US,187.49,Adyen,EU,MASTERCARD,Approved,
268,2024/1/12 03:00,US,83.9,Checkout,APAC,MASTERCARD,Approved,
269,2024/1/12 04:00,BR,135.78,Adyen,APAC,VISA,Declined,51
270,2024/1/12 05:00,IN,58.99,Stripe,NA,VISA,Approved,
271,2024/1/12 06:00,SG,30.62,Stripe,NA,VISA,Approved,
272,2024/1/12 07:00,SG,136.05,Checkout,NA,VISA,Approved,
273,2024/1/12 08:00,SG,155,Adyen,APAC,VISA,Approved,
274,2024/1/12 09:00,DE,49.96,Checkout,NA,MASTERCARD,Approved,
275,2024/1/12 10:00,BR,227.4,Checkout,APAC,PIX,Approved,
276,2024/1/12 11:00,BR,231.62,Adyen,NA,VISA,Declined,51
277,2024/1/12 12:00,SG,35.86,Checkout,APAC,VISA,Approved,
278,2024/1/12 13:00,US,37.43,Adyen,EU,VISA,Approved,
279,2024/1/12 14:00,US,39.08,Adyen,EU,VISA,Approved,
280,2024/1/12 15:00,SG,75.43,Checkout,NA,MASTERCARD,Approved,
281,2024/1/12 16:00,SG,61.36,Adyen,APAC,VISA,Approved,
282,2024/1/12 17:00,BR,24.3,Stripe,EU,VISA,Approved,
283,2024/1/12 18:00,BR,40.12,Stripe,EU,PIX,Approved,
284,2024/1/12 19:00,IN,7.9,Stripe,NA,UPI,Approved,
285,2024/1/12 20:00,US,9.97,Stripe,NA,VISA,Approved,
286,2024/1/12 21:00,IN,19.63,Checkout,APAC,UPI,Approved,
287,2024/1/12 22:00,BR,289.39,Stripe,EU,PIX,Approved,
288,2024/1/12 23:00,BR,266.61,Stripe,APAC,PIX,Approved,
289,2024/1/13 00:00,IN,141.66,Stripe,APAC,UPI,Approved,
290,2024/1/13 01:00,US,50.41,Stripe,NA,MASTERCARD,Approved,
291,2024/1/13 02:00,IN,19.28,Checkout,APAC,UPI,Approved,
292,2024/1/13 03:00,IN,82.54,Stripe,APAC,UPI,Approved,
293,2024/1/13 04:00,SG,115.27,Adyen,EU,MASTERCARD,Approved,
294,2024/1/13 05:00,BR,43.66,Adyen,APAC,VISA,Declined,5
295,2024/1/13 06:00,IN,110.81,Checkout,EU,UPI,Approved,
296,2024/1/13 07:00,BR,28.12,Checkout,EU,VISA,Approved,
297,2024/1/13 08:00,SG,51.31,Checkout,APAC,MASTERCARD,Approved,
298,2024/1/13 09:00,IN,67.76,Stripe,APAC,UPI,Approved,
299,2024/1/13 10:00,US,271.86,Checkout,EU,VISA,Approved,
300,2024/1/13 11:00,IN,39.59,Stripe,APAC,UPI,Declined,5
301,2024/1/13 12:00,IN,114.85,Checkout,EU,UPI,Approved,
302,2024/1/13 13:00,BR,34.24,Adyen,APAC,VISA,Approved,
303,2024/1/13 14:00,BR,29.92,Adyen,EU,PIX,Approved,
304,2024/1/13 15:00,US,43.49,Stripe,EU,VISA,Declined,51
305,2024/1/13 16:00,US,84.78,Checkout,NA,MASTERCARD,Approved,
306,2024/1/13 17:00,DE,247.42,Adyen,APAC,MASTERCARD,Approved,
307,2024/1/13 18:00,BR,49.46,Stripe,EU,PIX,Approved,
308,2024/1/13 19:00,BR,155.83,Adyen,EU,VISA,Approved,
309,2024/1/13 20:00,SG,280.8,Checkout,APAC,MASTERCARD,Approved,
310,2024/1/13 21:00,IN,101.03,Stripe,APAC,VISA,Approved,
311,2024/1/13 22:00,BR,175.86,Adyen,APAC,PIX,Approved,
312,2024/1/13 23:00,IN,41.38,Checkout,NA,UPI,Declined,5
313,2024/1/14 00:00,IN,112.63,Stripe,APAC,UPI,Approved,
314,2024/1/14 01:00,DE,134.2,Adyen,NA,VISA,Declined,51
315,2024/1/14 02:00,SG,23.11,Adyen,APAC,VISA,Approved,
316,2024/1/14 03:00,US,37.74,Stripe,NA,MASTERCARD,Approved,
317,2024/1/14 04:00,BR,65.38,Checkout,APAC,PIX,Approved,
318,2024/1/14 05:00,IN,44.58,Stripe,NA,UPI,Approved,
319,2024/1/14 06:00,IN,71.72,Adyen,EU,VISA,Approved,
320,2024/1/14 07:00,IN,19.75,Adyen,NA,UPI,Approved,
321,2024/1/14 08:00,BR,262.66,Adyen,NA,VISA,Approved,
322,2024/1/14 09:00,US,167.09,Checkout,EU,MASTERCARD,Approved,
323,2024/1/14 10:00,US,581.75,Adyen,APAC,MASTERCARD,Approved,
324,2024/1/14 11:00,IN,26.05,Adyen,EU,UPI,Approved,
325,2024/1/14 12:00,DE,115.87,Stripe,EU,MASTERCARD,Declined,201
326,2024/1/14 13:00,US,44.95,Adyen,EU,MASTERCARD,Approved,
327,2024/1/14 14:00,US,29.74,Stripe,NA,MASTERCARD,Declined,51
328,2024/1/14 15:00,US,160.61,Adyen,EU,MASTERCARD,Approved,
329,2024/1/14 16:00,BR,86.93,Stripe,APAC,PIX,Approved,
330,2024/1/14 17:00,IN,61.81,Stripe,NA,UPI,Declined,14
331,2024/1/14 18:00,BR,103.31,Stripe,NA,VISA,Approved,
332,2024/1/14 19:00,SG,39.25,Stripe,EU,MASTERCARD,Approved,
333,2024/1/14 20:00,IN,38.05,Checkout,NA,VISA,Declined,59
334,2024/1/14 21:00,IN,46.41,Adyen,APAC,UPI,Approved,
335,2024/1/14 22:00,IN,183.24,Checkout,NA,UPI,Approved,
336,2024/1/14 23:00,IN,173.11,Adyen,EU,UPI,Approved,
337,2024/1/15 00:00,SG,24.83,Stripe,EU,MASTERCARD,Approved,
338,2024/1/15 01:00,US,255.15,Adyen,EU,MASTERCARD,Declined,59
339,2024/1/15 02:00,BR,81.32,Stripe,NA,PIX,Approved,
340,2024/1/15 03:00,IN,114.47,Adyen,EU,VISA,Approved,
341,2024/1/15 04:00,BR,45.08,Stripe,NA,PIX,Declined,51
342,2024/1/15 05:00,BR,84.7,Adyen,EU,PIX,Approved,
343,2024/1/15 06:00,IN,29.57,Adyen,EU,UPI,Declined,14
344,2024/1/15 07:00,BR,42.35,Adyen,EU,VISA,Declined,51
345,2024/1/15 08:00,BR,151.43,Stripe,APAC,VISA,Declined,5
346,2024/1/15 09:00,US,153.92,Adyen,APAC,VISA,Approved,
347,2024/1/15 10:00,US,118.37,Stripe,EU,VISA,Approved,
348,2024/1/15 11:00,IN,58.56,Checkout,EU,VISA,Declined,201
349,2024/1/15 12:00,BR,24.4,Adyen,NA,PIX,Approved,
350,2024/1/15 13:00,US,198.56,Stripe,NA,MASTERCARD,Approved,
351,2024/1/15 14:00,BR,161.96,Stripe,APAC,VISA,Approved,
352,2024/1/15 15:00,SG,12.08,Stripe,NA,VISA,Approved,
353,2024/1/15 16:00,US,155.79,Checkout,NA,VISA,Approved,
354,2024/1/15 17:00,IN,61.78,Stripe,NA,UPI,Approved,
355,2024/1/15 18:00,IN,137.4,Checkout,NA,UPI,Approved,
356,2024/1/15 19:00,US,20.03,Checkout,APAC,MASTERCARD,Approved,
357,2024/1/15 20:00,IN,47.2,Stripe,APAC,UPI,Approved,
358,2024/1/15 21:00,US,89.59,Adyen,NA,MASTERCARD,Approved,
359,2024/1/15 22:00,DE,262.73,Checkout,NA,VISA,Approved,
360,2024/1/15 23:00,US,89.76,Stripe,APAC,MASTERCARD,Approved,
361,2024/1/16 00:00,BR,178.2,Checkout,EU,PIX,Approved,
362,2024/1/16 01:00,US,99.23,Stripe,NA,MASTERCARD,Approved,
363,2024/1/16 02:00,BR,96.57,Stripe,EU,VISA,Declined,51
364,2024/1/16 03:00,BR,123.06,Checkout,NA,PIX,Approved,
365,2024/1/16 04:00,DE,79.62,Stripe,APAC,VISA,Approved,
